country_name,life_expectancy,expected_schooling,mean_schooling,gni_percap_logged,v2x_polyarchy
Cuba,78.085,13.87884045,10.63148903,9.03782003091829,0.175
Dominica,71.132,14.15099967,10.12508965,9.68041434312287,
Paraguay,73.844,13.98706964,8.930653385,9.63248035570149,0.575
Egypt,71.633,13.12716193,10.13611962,9.69388535250268,0.188
Jordan,77.814,13.1090498,10.23999977,9.12933337163855,0.251
Lebanon,77.817,11.68299961,10.36999989,9.33245952551523,0.362
Saint Lucia,72.697,12.73040962,8.614167055,9.94749400392718,
Mongolia,71.734,13.6376543,9.420000076,9.60150926579146,0.533
Tunisia,76.508,14.67349856,7.594920158,9.39361046626618,0.461
South Africa,66.139,13.79325008,11.60999966,9.52471222573879,0.705
Uzbekistan,72.388,12.46086979,11.90999985,9.08542669910859,0.214
Bolivia,68.581,15.61065006,10.02122319,9.15326670527451,0.584
Gabon,68.337,12.48275889,9.686,9.84448363438845,0.329
Marshall Islands,66.945,16.38606071,11.6366644,8.88514483009951,
Botswana,69.163,11.42568016,10.478,9.7400135217802,0.556
Fiji,67.316,13.84869,10.37096977,9.46056656645653,0.511
Indonesia,71.146,13.33577728,8.6972232,9.52516059279317,0.538
Suriname,73.631,10.95909977,8.429759582,9.76102421199332,0.768
Belize,73.566,11.98379993,8.762290001,9.42085071043766,
Libya,69.339,12.92465677,7.77860643,9.895023450877,0.196
Jamaica,71.479,12.3833955,9.959910393,9.21602272776926,0.803
Kyrgyzstan,71.677,12.71388245,12.06588858,8.71245031994968,0.35
Philippines,69.833,12.81904666,9.977239609,9.28091105859126,0.434
Morocco,75.313,15.07499027,6.198,9.06564759176123,0.262
Venezuela,72.514,12.96537654,9.678385373,8.87585735554395,0.207
Samoa,71.698,12.4364,11.33298361,8.69148542009087,
Nicaragua,74.947,11.51021957,9.933019638,8.8365889672531,0.159
Nauru,62.109,12.84263763,9.448637676,9.88544463873557,
Bhutan,72.975,13.15274184,5.835794662,9.53552077585423,0.54
Eswatini,64.123,15.24604391,8.685199738,9.20221598130914,0.122
Iraq,72.324,12.35940135,6.780046287,9.44569108696564,0.356
Tajikistan,71.79,10.84980801,11.27094825,8.656358254651,0.166
Tuvalu,67.105,12.37506862,10.76746107,8.85445380019044,
Bangladesh,74.672,12.31016827,6.789999962,9.04754595029863,0.253
India,72.003,12.95454025,6.880000114,9.11016155653603,0.373
El Salvador,72.099,11.11291027,7.300000191,9.26812255884039,0.38
Equatorial Guinea,63.707,12.49119511,8.281327014,9.45426399038367,0.184
"Palestine, State of",65.17,12.99800968,10.13000011,8.78677727400654,
Cabo Verde,76.059,11.36709717,6.09003905,9.0076584430281,
Namibia,67.385,11.78505588,7.273146745,9.2980406442896,0.627
Guatemala,72.602,10.67763042,5.847300053,9.43016674754139,0.505
Republic of the Congo,65.772,12.68194711,8.322644792,8.68314805255453,0.253
Honduras,72.884,10.16220647,7.510229074,8.71025450055652,0.538
Kiribati,66.473,11.87390648,9.128581569,8.50659329569348,
Sao Tome and Principe,69.718,12.8567099,5.987559175,8.62755736815667,0.673
Timor-Leste,67.689,13.25306303,6.226580551,8.6005402230855,0.712
Ghana,65.498,11.41845989,7.107210159,8.83147126445099,0.664
Kenya,63.646,11.47407573,8.624710083,8.63200222083017,0.566
Nepal,70.354,13.75430393,4.50372982,8.460819775667,0.692
Vanuatu,71.477,11.81160992,7.183209727,8.13261547291917,0.815
Laos,68.964,9.605483055,6.06024616,9.00037870881075,0.132
Angola,64.617,12.1676,5.956173009,8.7995526052195,0.33
Micronesia (Federated States of),67.198,11.54008512,7.33252398,8.35370396615728,
Burma/Myanmar,66.889,11.50456047,6.380000114,8.5008220276172,0.08
Cambodia,70.668,11.19789219,5.197100163,8.50330050175267,0.19
Comoros,66.777,13.29446063,6.006840229,8.15510977372978,0.272
Zimbabwe,62.775,11.05745312,8.930847216,8.16378809996397,0.291
Zambia,66.349,11.02052892,7.397408543,8.14516551538691,0.527
Cameroon,63.7,10.79187965,6.574180412,8.46511344469821,0.29
Solomon Islands,70.528,11.31304207,5.8796802,7.9292225392295,0.629
Côte d'Ivoire,61.944,11.41112995,4.869999886,8.81513489317062,
Uganda,68.252,11.56404819,6.323663082,7.91440212899094,0.275
Rwanda,67.785,12.59045029,4.880000114,7.99650558476428,0.213
Papua New Guinea,66.134,11.51107187,4.962531078,8.28668451075149,0.467
Togo,62.739,13.09642387,5.861114619,7.95716465811316,0.394
Syria,72.12,7.418754527,5.935520062,8.27326063466984,0.146
Mauritania,68.484,7.949540636,4.852025862,8.7431281723431,0.366
Nigeria,54.462,10.51407,7.585969925,8.62503811387815,0.49
Tanzania,66.995,8.585740089,6.065350056,8.16469034957193,0.419
Haiti,64.936,10.89635878,5.3822999,7.98443745153378,0.211
Lesotho,57.375,10.98659352,7.729883486,8.0161151386751,0.675
Pakistan,67.649,7.89510849,4.316987038,8.61270933764439,0.335
Senegal,68.683,9.142709732,2.934554012,8.34332319432442,0.626
The Gambia,65.86,8.977899686,4.674727154,7.94165751251267,0.64
Democratic Republic of the Congo,61.895,10.91147386,7.378561086,7.26616227375442,0.336
Malawi,67.353,9.902591705,5.243740082,7.39859813960846,0.576
Benin,60.774,10.4464798,3.194200039,8.24420989826861,0.493
Guinea-Bissau,64.085,10.63534621,3.673035,7.78449788670188,0.43
Djibouti,65.987,6.207350016,3.95041503,8.75897885783395,0.25
Sudan,66.331,8.620371878,3.962,7.94105079246265,0.133
Liberia,62.163,10.46585369,6.169891955,7.33814672195899,0.623
Eritrea,68.624,7.336672297,5.09136442,7.61533286954016,0.069
Guinea,60.74,10.39330626,2.486339025,8.15890200577656,0.171
Ethiopia,67.315,9.217651571,2.402539813,7.93576875876442,0.282
Afghanistan,66.035,10.79014324,2.514790058,7.5865750394854,0.073
Mozambique,63.611,10.84830885,4.590489864,7.21212268088434,0.355
Madagascar,63.632,9.062584503,4.592520237,7.41201822521041,0.479
Yemen,69.295,7.494902735,5.484149933,6.92579221110076,0.128
Sierra Leone,61.786,9.064124575,3.535297609,7.44642626040583,0.493
Burkina Faso,61.092,8.733340263,2.266550064,7.77926944816179,0.211
Burundi,63.651,9.829423879,3.473935556,6.75567062623371,0.187
Mali,60.439,7.011331533,1.629999995,7.75858466105664,0.231
Niger,61.183,8.308919801,1.412289341,7.37160750206405,0.387
Chad,55.069,8.347590231,2.334984892,7.46622812372104,0.147
Central African Republic,57.408,7.435767778,3.989431459,7.00293879712885,0.305
Somalia,58.816,7.486165162,1.899999976,7.29623593711939,0.17
South Sudan,57.617,5.634770141,5.730000019,6.53429347380998,0.159
